,time,passenger_id,latitude,longitude,altitude,location,event
51,1686874042007,passenger12,33.9471955065246,-118.37445960086,0.0,SJ_ROOM,flight_assignment
52,1686874042008,passenger16,33.9471955065246,-118.37445960086,0.0,SJ_ROOM,flight_assignment
53,1686874042009,passenger22,33.9471955065246,-118.37445960086,0.0,SJ_ROOM,flight_assignment
54,1686874042010,passenger7,33.9471955065246,-118.37445960086,0.0,SJ_ROOM,boarding_start
55,1686874042011,passenger12,33.9471955065246,-118.37445960086,0.0,SJ_ROOM,boarding_start
56,1686874042012,passenger16,33.9471955065246,-118.37445960086,0.0,SJ_ROOM,boarding_start
57,1686874042013,passenger22,33.9471955065246,-118.37445960086,0.0,SJ_ROOM,boarding_start
58,1686874042014,passenger7,33.9473995910249,-118.374275130822,0.0,SJ_GATE,boarding_gate
59,1686874042015,passenger12,33.9473995910249,-118.374275130822,0.0,SJ_GATE,boarding_gate
60,1686874042016,passenger16,33.9473995910249,-118.374275130822,0.0,SJ_GATE,boarding_gate
61,1686874042017,passenger22,33.9473995910249,-118.374275130822,0.0,SJ_GATE,boarding_gate
62,1686874112594,passenger23,33.9473393894643,-118.373647676473,0.0,SJ_ENTRANCE,vertiport_entrance
63,1686874112595,passenger23,33.9471955065246,-118.37445960086,0.0,SJ_ROOM,enter_waiting_room
64,1686874135990,passenger24,33.9473393894643,-118.373647676473,0.0,RICHMOND_ENTRANCE,vertiport_entrance
65,1686874135991,passenger24,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,enter_waiting_room
66,1686874135992,passenger3,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,passenger_consolidation
67,1686874135993,passenger6,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,passenger_consolidation
68,1686874135994,passenger9,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,passenger_consolidation
69,1686874135995,passenger24,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,passenger_consolidation
70,1686874135996,passenger3,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,flight_assignment
71,1686874135997,passenger6,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,flight_assignment
72,1686874135998,passenger9,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,flight_assignment
73,1686874135999,passenger24,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,flight_assignment
74,1686874136000,passenger3,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,boarding_start
75,1686874136001,passenger6,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,boarding_start
76,1686874136002,passenger9,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,boarding_start
77,1686874136003,passenger24,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,boarding_start
78,1686874136004,passenger3,33.9473995910249,-118.374275130822,0.0,RICHMOND_GATE,boarding_gate
79,1686874136005,passenger6,33.9473995910249,-118.374275130822,0.0,RICHMOND_GATE,boarding_gate
80,1686874136006,passenger9,33.9473995910249,-118.374275130822,0.0,RICHMOND_GATE,boarding_gate
81,1686874136007,passenger24,33.9473995910249,-118.374275130822,0.0,RICHMOND_GATE,boarding_gate
82,1686874159485,passenger25,33.9473393894643,-118.373647676473,0.0,RICHMOND_ENTRANCE,vertiport_entrance
83,1686874159486,passenger25,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,enter_waiting_room
84,1686874159487,passenger5,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,passenger_consolidation
85,1686874159488,passenger11,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,passenger_consolidation
86,1686874159489,passenger17,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,passenger_consolidation
