,time,tail_number,location,speed,soc,flight_direction,event,latitude,longitude,altitude
44,1686874439814,aircraft11,STOCKTON_FATO1,0.0,80.0,STOCKTON_SJ,fato_arrival,37.9381903031836,-121.350342496127,0.0
45,1686874451508,aircraft0,RICHMOND_SFO_waypoint_4,67.0,75.17000000000002,RICHMOND_SFO,cruise,37.842344,-122.367809,450.0
46,1686874451764,aircraft4,SFO_PARK18,0.0,80.0,SFO_SJ,aircraft_allocation,37.6216482026196,-122.376611395214,0.0
47,1686874455518,aircraft8,Intersect Richmond_SJ and SJ Richmond,67.0,73.62,SJ_STOCKTON,cruise,37.435286,-121.908137,450.0
48,1686874474550,aircraft2,RICHMOND_PARK16,0.0,80.0,RICHMOND_STOCKTON,pushback,37.9133640988197,-122.332367964866,0.0
49,1686874474814,aircraft11,Stockton FATO,0.0,77.18,STOCKTON_SJ,hover_climb_end,37.93819,-121.350342,45.72
50,1686874496041,aircraft10,SJ_PARK14,0.0,80.0,SJ_RICHMOND,aircraft_allocation,37.30554124248,-121.854405990325,0.0
51,1686874505068,aircraft2,RICHMOND_FATO1,0.0,80.0,RICHMOND_STOCKTON,fato_arrival,37.913252229749,-122.332008363263,0.0
52,1686874511512,aircraft9,SJ_PARK15,0.0,80.0,SJ_SFO,pushback,37.305770451063,-121.854409622629,0.0
53,1686874514508,aircraft0,RICHMOND_SFO_waypoint_5,67.0,74.03000000000002,RICHMOND_SFO,cruise,37.808192,-122.38806,450.0
54,1686874515814,aircraft11,Stockton Departure Fix,18.0,75.12,STOCKTON_SJ,climb_transition_end,37.931267,-121.347174,106.68
55,1686874520068,aircraft2,RICHMOND_hover_fix,0.0,78.79,RICHMOND_STOCKTON,hover_climb_end,37.91325223,-122.3320084,15.0
56,1686874531518,aircraft8,Split SJ_Richmond and SJ_Stockton WP4,67.0,72.24000000000001,SJ_STOCKTON,cruise,37.480574,-121.901072,450.0
57,1686874540068,aircraft2,RICHMOND_departure_fix,18.0,77.79,RICHMOND_STOCKTON,climb_transition_end,37.909593,-122.340109,45.72
58,1686874540069,aircraft3,RICHMOND_PARK15,0.0,80.0,RICHMOND_SFO,pushback,37.9132056314235,-122.332390118622,0.0
59,1686874542030,aircraft9,SJ_FATO1,0.0,80.0,SJ_SFO,fato_arrival,37.3056580008058,-121.85405613654,0.0
60,1686874553026,aircraft1,Richmond_Stockton WP5,67.0,74.49000000000001,RICHMOND_STOCKTON,cruise,37.939736,-122.247608,450.0
61,1686874557030,aircraft9,SJ_hover_fix,0.0,78.79,SJ_SFO,hover_climb_end,37.305658,-121.8540561,15.0
62,1686874560068,aircraft2,Richmond_Stockton wp1,45.0,77.10000000000001,RICHMOND_STOCKTON,climb_end,37.910754,-122.345196,106.68
63,1686874563508,aircraft0,RICHMOND_SFO_waypoint_6,67.0,73.14000000000001,RICHMOND_SFO,cruise,37.778499,-122.384361,450.0
64,1686874567068,aircraft2,Richmond_Stockton WP2,56.0,76.99000000000001,RICHMOND_STOCKTON,cruise,37.914355,-122.345572,450.0
65,1686874570586,aircraft3,RICHMOND_FATO1,0.0,80.0,RICHMOND_SFO,fato_arrival,37.913252229749,-122.332008363263,0.0
66,1686874571758,aircraft4,SFO_PARK18,0.0,80.0,SFO_SJ,pushback,37.6216482026196,-122.376611395214,0.0
67,1686874574068,aircraft2,Richmond_Stockton WP3,67.0,76.87,RICHMOND_STOCKTON,cruise,37.918573,-122.343781,450.0
68,1686874577030,aircraft9,SJ_departure_fix,18.0,77.79,SJ_SFO,climb_transition_end,37.304832,-121.863192,45.72
69,1686874585586,aircraft3,RICHMOND_hover_fix,0.0,78.79,RICHMOND_SFO,hover_climb_end,37.91325223,-122.3320084,15.0
70,1686874589068,aircraft2,Richmond_Stockton WP4,67.0,76.60000000000001,RICHMOND_STOCKTON,cruise,37.924394,-122.335276,450.0
71,1686874596793,aircraft12,STOCKTON_PARK15,0.0,80.0,STOCKTON_RICHMOND,aircraft_allocation,37.9383214396354,-121.350687162705,0.0
72,1686874597030,aircraft9,SJ_SFO WP1,45.0,77.10000000000001,SJ_SFO,climb_end,37.312145,-121.881113,106.68
73,1686874602276,aircraft4,SFO_FATO1,0.0,80.0,SFO_SJ,fato_arrival,37.6213780437358,-122.376427342586,0.0
74,1686874605586,aircraft3,RICHMOND_departure_fix,18.0,77.79,RICHMOND_SFO,climb_transition_end,37.909593,-122.340109,45.72
75,1686874616035,aircraft10,SJ_PARK14,0.0,80.0,SJ_RICHMOND,pushback,37.30554124248,-121.854405990325,0.0
76,1686874616508,aircraft0,RICHMOND_SFO_waypoint_7,67.0,72.18000000000002,RICHMOND_SFO,cruise,37.748262,-122.370386,450.0
77,1686874617276,aircraft4,SFO_hover_fix,0.0,78.79,SFO_SJ,hover_climb_end,37.621378,-122.376427,15.0
78,1686874625586,aircraft3,RICHMOND_SFO_waypoint_1,45.0,77.10000000000001,RICHMOND_SFO,climb_end,37.901345,-122.34033,106.68
79,1686874625814,aircraft11,Stockton_SJ_SFO WP1,45.0,71.26,STOCKTON_SJ,climb_end,37.917514,-121.347093,450.0
80,1686874637276,aircraft4,SFO_departure_fix,18.0,77.79,SFO_SJ,climb_transition_end,37.62357,-122.367587,45.72
81,1686874643586,aircraft3,RICHMOND_SFO_waypoint_2,56.0,76.83000000000001,RICHMOND_SFO,cruise,37.892383,-122.340361,450.0
82,1686874646553,aircraft10,SJ_FATO1,0.0,80.0,SJ_RICHMOND,fato_arrival,37.3056580008058,-121.85405613654,0.0
83,1686874657276,aircraft4,SFO_SJ_waypoint_1,45.0,77.10000000000001,SFO_SJ,climb_end,37.620013,-122.266036,106.68
84,1686874661553,aircraft10,SJ_hover_fix,0.0,78.79,SJ_RICHMOND,hover_climb_end,37.305658,-121.8540561,15.0
85,1686874666508,aircraft0,RICHMOND_SFO_waypoint_8,67.0,71.27000000000002,RICHMOND_SFO,cruise,37.71963,-122.358099,450.0
